API ID,Provider / Tool,Access Method,Primary Data,Project Use,Authentication,Cost Class,Cadence,Formats,Production Role,Fallback / Pairing,Terms Check,Status,Documentation URL,Example Call / Function,Notes
API-001,Earth Nullschool,Interactive web visualisation,Atmospheric and ocean model visualisation,Reference interface and demonstrator inspiration,None for viewing,Free view,Layer dependent,Rendered web,Reference only,Use supported source APIs,Required,Reference,https://earth.nullschool.net/,No supported production API assumed,Do not scrape as primary source.
API-002,Copernicus Marine Toolbox,Python API / CLI,"Global ocean physics, waves, satellite and in-situ products","Primary current, wave and model data",Free account,Free / no quotas stated by provider,Product dependent,"NetCDF, Zarr, dataframe",Primary,HYCOM / OSCAR,Required,Candidate,https://toolbox-docs.marine.copernicus.eu/en/stable/,describe(); subset(); open_dataset(); read_dataframe(),Official programmatic path.
API-003,HYCOM THREDDS / OPeNDAP,OPeNDAP / THREDDS,Near-real-time ocean prediction output,Independent ensemble and fallback currents,Endpoint dependent,Free demonstration service,Daily; availability caveats,NetCDF stream,Secondary,Copernicus,Required,Candidate,https://www.hycom.org/dataserver/access-methods/thredds,Open OPeNDAP dataset URL,Service has availability disclaimer.
API-004,NOAA GFS / AWS Open Data,Cloud objects / downloads,Global atmospheric forecast and winds,"Windage, weather and route context",None for open data,Free access subject to cloud use,Model cycles,GRIB2,Primary atmosphere,Open-Meteo / Copernicus,Required,Candidate,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast,Retrieve cycle and variables,
API-005,NOAA NCEI Marine Microplastics,Portal download / JSON / GeoJSON / CSV,Global microplastic observations,"Validation, priors and sampling-gap analysis",None,Free,Dataset updates,"CSV, JSON, GeoJSON",Validation,EMODnet,Public-domain/metadata check,Candidate,https://www.ncei.noaa.gov/products/microplastics,Download geographic/time subset,Methods may not be directly comparable.
API-006,NASA PO.DAAC OSCAR,Earthdata data access,Global surface currents,Independent surface-current product,Earthdata account may be required,Free,NRT/interim/final,NetCDF,Secondary validation,Copernicus / HYCOM,Required,Candidate,https://podaac.jpl.nasa.gov/dataset/OSCAR_L4_OC_INTERIM_V2.0,Subset OSCAR u/v,
API-007,Global Fishing Watch APIs,REST APIs,Vessel and ocean human activity,"Route risk, vessel context and ghost-gear analysis",API token / terms,Access dependent,Dataset dependent,JSON / tiles,Context layer,AIS partner / public map,Required,Candidate,https://globalfishingwatch.org/our-apis/documentation,Request token and query datasets,
API-008,OBIS API v3,REST API,Marine species observations and checklists,Species priors and safety context,None,Free,Continuously aggregated,JSON,Ecological context,Local surveys / GBIF,Required,Candidate,https://api.obis.org/,GET occurrences/checklist by geometry/time,
API-009,EMODnet Chemistry / Litter,"WMS, WFS, ERDDAP and downloads",Marine litter and chemistry,"Taxonomy, standards and regional validation",Some services require Marine-ID,Free / public service,Product dependent,WMS/WFS/NetCDF/ERDDAP,Regional validation,NOAA NCEI,Required,Candidate,https://emodnet.ec.europa.eu/en/emodnet-web-service-documentation,Query chemistry_marine_litter,
API-010,Open-Meteo Marine API,REST API,Marine waves and sea-state variables,Rapid prototype and fallback,No key for eligible use,Free non-commercial terms; verify production,Forecast updates,JSON,Prototype / fallback,Copernicus,Required,Candidate,https://open-meteo.com/en/docs/marine-weather-api,GET /v1/marine?...,Not a replacement for primary ocean models.
API-011,NOAA NDBC,HTTP text / feeds,Buoy weather and wave observations,Point validation and route conditions,None,Free,Near real time,Text,Validation,Other buoy networks,Required,Candidate,https://www.ndbc.noaa.gov/,Retrieve station feed,
API-012,Argo / OceanOPS,GDAC and data services,Profiling float observations,Subsurface context and model validation,Service dependent,Free,Near real time,NetCDF,Validation,Copernicus in-situ,Required,Candidate,https://argo.ucsd.edu/data/,Query GDAC files/index,
API-013,NOAA ERDDAP Services,ERDDAP tabledap / griddap,Multiple oceanographic datasets,Standard query and discovery,Usually none,Free,Dataset dependent,"CSV, JSON, NetCDF",Discovery / validation,Provider-native API,Required,Candidate,https://coastwatch.pfeg.noaa.gov/erddap/index.html,griddap/tabledap query,
API-014,OpenStreetMap Nominatim,REST geocoding,Place and bounding-box lookup,Human-friendly region labels,Policy-governed,Free with usage policy,Live,JSON,Interface helper,Local gazetteer,Required,Candidate,https://nominatim.org/release-docs/latest/api/Overview/,GET /search?q=&format=json,Respect usage limits.
