Candidate ID,Organization,Primary Domain,Current Capability,Proposed Collaboration Application,Why High Value,Geographic Fit,Data Fit,Implementation Fit,Outreach Fit,Processing Fit,Initial Fit Score,NDA Priority,Verification State,Official Source,Next Research / Contact Step
CAN-001,The Ocean Cleanup,Open-ocean legacy plastic retrieval,System 03 operations in the Great Pacific Garbage Patch,Receive cluster forecasts and operational context; compare mission recommendations with existing routing and ecological controls.,Direct open-ocean operating footprint and mature recovery system.,High,High,High,High,Medium,94,Critical,Candidate,https://theoceancleanup.com/,Prepare evidence-led interoperability brief; do not imply partnership.
CAN-002,Ocean Voyages Institute,Ghost-net tagging and retrieval,Pacific gyre voyages using satellite tracking to locate derelict fishing gear,Integrate tagged-gear positions into mission objects and coordinate vessels of opportunity for retrieval.,Proven Pacific field footprint and explicit scaling intent.,High,High,High,Medium,Medium,92,Critical,Candidate,https://www.oceanvoyagesinstitute.org/,Prepare NDA exploration package focused on shared tracking and mission routing.
CAN-003,Global Fishing Watch,Ocean human-activity data,APIs and vessel-activity intelligence,"Add vessel density, fishing effort and candidate vessel context to route-risk and ghost-gear attribution layers.",High-value global data layer for coordination and operational safety.,High,High,Medium,High,Low,88,High,Candidate,https://globalfishingwatch.org/our-apis/documentation,Review API access terms and draft a data collaboration case.
CAN-004,Copernicus Marine / Mercator Ocean International,Ocean forecast and observation data,Official programmatic marine-data access through Copernicus Marine Toolbox,"Use currents, waves, wind and in-situ products as primary production data for clustering and prediction.",Core forecast infrastructure with documented API and global coverage.,High,High,Medium,Low,Low,91,High,Candidate,https://marine.copernicus.eu/,Create dataset shortlist and prototype retrieval manifest.
CAN-005,NOAA NCEI Marine Microplastics,Microplastics observations and validation,"Global database downloadable as CSV, JSON and GeoJSON","Use observations to validate cluster priors, identify sampling gaps and standardize future operator submissions.",Authoritative open data and validation pathway.,High,High,Low,Medium,Low,87,High,Candidate,https://www.ncei.noaa.gov/products/microplastics,Map fields to the project observation schema.
CAN-006,HYCOM Consortium,Ocean current modelling,Near-real-time global model output through THREDDS and OPeNDAP,Use as independent model source for ensemble agreement and fallback.,Supports confidence scoring through model diversity.,High,High,Low,Low,Low,83,Medium,Candidate,https://www.hycom.org/dataserver,Benchmark against Copernicus and define fallback behaviour.
CAN-007,Ocean Biodiversity Information System,Marine biodiversity observations,Global marine species records through API,Build species-presence priors and ecological exclusion context around proposed missions.,Directly strengthens adaptive ecological safety.,High,High,Low,Medium,Low,84,High,Candidate,https://obis.org/data/access/,Define species-risk queries and confidence rules.
CAN-008,RanMarine Technology,Autonomous surface collection and water data,WasteShark family of surface robots,Test Operator Node capability exchange and mission bidding in protected or coastal waters before open-ocean scaling.,Operational robotics and onboard data capture.,Medium,High,High,High,Low,82,High,Candidate,https://www.ranmarine.io/,"Request capability schema, constraints and interfaces."
CAN-009,Clearbot,Autonomous electric waste collection,Autonomous boats for waste recovery and surveys,"Pilot capability declarations, mission bidding, route recommendations and impact reporting in ports or coastal systems.",Commercial deployment model and documented operational metrics.,Medium,High,High,High,Low,82,High,Candidate,https://www.clearbot.org/,Prepare port/coastal pilot interoperability case.
CAN-010,Ocean Conservancy / Global Ghost Gear Initiative,"Outreach, standards and ghost-gear network","Global convening, cleanup data and ghost-gear coordination","Align mission taxonomy, reporting and operator outreach; explore standard-setting and network participation.",Large network footprint and governance relevance.,High,High,Medium,High,Low,86,High,Candidate,https://oceanconservancy.org/trash-free-seas/international-coastal-cleanup/,Identify the current program contact and data pathways.
CAN-011,Plastic Odyssey,Mobile plastic processing and circular innovation,Ship-based demonstration of plastic recycling and local circular technologies,"Explore recovered-feedstock characterisation, mobile processing and technology registry collaboration.",Bridges recovery to what happens after collection.,Medium,Medium,Medium,High,High,84,High,Candidate,https://plasticodyssey.org/en/,Map accepted feedstocks and licensing/training model.
CAN-012,Oceanic Society,Global outreach and funded cleanup network,International cleanup partners and science-backed public engagement,Use the network as an outreach and partner-discovery channel; offer mission-data and impact-reporting structure.,Broad geographic and communications footprint.,Medium,Medium,Low,High,Low,78,Medium,Candidate,https://www.oceanicsociety.org/,Develop concise public-benefit application.
